channel,onset,duration,peak_onset,type,frequency,amplitude,phase_angle,lag,sw_wind_start,sw_wind_end,sw_neg_peak,overlap,cluster_size,i_within_cluster,NREM2,NREM3,NREM23
Fz,5672.46,0.54,5672.616,sp_unc,12.8837719298246,16.047127142998,NaN,NaN,NaN,NaN,NaN,0,3,2,34,,34
Pz,5678.38,0.62,5678.548,sp_unc,12.6330905936169,9.0286806530103,NaN,NaN,NaN,NaN,NaN,0,3,3,35,,35
Pz,5685.428,0.52,5685.78,sp_unc,12.4631970091716,9.70671938488689,NaN,NaN,NaN,NaN,NaN,0,1,1,36,,36
C4,5695.432,0.528,5695.56,sp_unc,14.3093759096081,8.95869158092633,NaN,NaN,NaN,NaN,NaN,0,2,1,37,,37
C4,5698.48,0.572,5698.892,sp_unc,14.094365816502,8.46691294671266,NaN,NaN,NaN,NaN,NaN,0,2,2,38,,38
Fz,5707.632,0.608,5707.912,sp_unc,12.3106108231966,16.4743328617108,NaN,NaN,NaN,NaN,NaN,0,1,1,39,,39
Pz,5720.988,0.872,5721.664,sp_unc,14.2348406667292,14.8888871721638,NaN,NaN,NaN,NaN,NaN,0,7,1,40,,40
C3,5722.432,0.604,5722.888,sp_unc,14.0994438711157,13.6400099921672,NaN,NaN,NaN,NaN,NaN,0,7,2,41,,41
Cz,5723.192,0.56,5723.344,sp_unc,13.0801645894525,11.0864150776109,NaN,NaN,NaN,NaN,NaN,1,7,3,42,,42
C3,5728.88,1.168,5729.924,sp_unc,13.9187838878241,13.3322829080006,NaN,NaN,NaN,NaN,NaN,1,7,4,43,,43
Pz,5731.44,0.692,5731.904,sp_unc,13.5585503551266,24.8156591803713,NaN,NaN,NaN,NaN,NaN,1,7,5,44,,44
Pz,5734.292,1.06,5735.012,sp_unc,13.8538521321459,21.7920430654605,NaN,NaN,NaN,NaN,NaN,1,7,6,45,,45
C4,5736.728,0.88,5737.38,sp_unc,14.1372119023048,11.8673347549625,NaN,NaN,NaN,NaN,NaN,1,7,7,46,,46
Pz,5831.436,1.104,5831.82,sp_unc,13.640960770273,14.3794045639141,NaN,NaN,NaN,NaN,NaN,1,2,1,47,,47
Pz,5837.032,0.544,5837.416,sp_unc,14.297385620915,15.5502613173008,NaN,NaN,NaN,NaN,NaN,0,2,2,48,,48
Pz,5845.944,0.5,5846.276,sp_unc,13.8566391468868,13.0565687355944,NaN,NaN,NaN,NaN,NaN,0,2,1,49,,49
C4,5847.572,0.604,5847.704,sp_unc,13.3550020885547,13.0383877378125,NaN,NaN,NaN,NaN,NaN,0,2,2,50,,50
Pz,5859.4,0.652,5859.828,sp_unc,14.1391603242174,18.6381656665036,NaN,NaN,NaN,NaN,NaN,0,5,1,51,,51
C4,5863.976,0.52,5864.284,sp_unc,12.8702437912964,12.9744809538751,NaN,NaN,NaN,NaN,NaN,0,5,2,52,,52
Pz,5866.724,1.312,5867.524,sp_unc,13.886549201724,12.1724688800317,NaN,NaN,NaN,NaN,NaN,0,5,3,53,,53
C4,5870.012,0.696,5870.148,sp_unc,14.820966154493,15.5672131289015,NaN,NaN,NaN,NaN,NaN,1,5,4,54,,54
C3,5873.784,0.528,5874.208,sp_unc,13.8487733277787,17.0314995874881,NaN,NaN,NaN,NaN,NaN,0,5,5,55,,55
C4,5904.208,0.548,5904.64,sp_unc,14.7438141923436,11.6674066857748,NaN,NaN,NaN,NaN,NaN,1,5,1,56,,56
C3,5907.124,0.504,5907.252,sp_unc,13.3142063552984,15.545913340416,NaN,NaN,NaN,NaN,NaN,0,5,2,57,,57
Pz,5913.076,0.768,5913.46,sp_unc,13.97226134221,11.9627485342784,NaN,NaN,NaN,NaN,NaN,0,5,3,58,,58
Fz,5916.4,0.516,5916.56,sp_unc,12.7696134275082,17.7741743336794,NaN,NaN,NaN,NaN,NaN,1,5,4,59,,59
Pz,5921.864,0.848,5922.236,sp_unc,14.1301476731043,14.507927142533,NaN,NaN,NaN,NaN,NaN,0,5,5,60,,60
Pz,5927.916,1.076,5928.456,sp_unc,14.2134978991597,15.9062628708298,NaN,NaN,NaN,NaN,NaN,0,1,1,61,,61
Cz,5935.892,0.5,5936.02,sp_unc,13.0138667478515,14.3822380442571,NaN,NaN,NaN,NaN,NaN,1,3,1,62,,62
Cz,5940.34,0.736,5940.948,sp_unc,12.474919952899,11.5678141531603,NaN,NaN,NaN,NaN,NaN,0,3,2,63,,63
Cz,5941.396,0.552,5941.524,sp_unc,12.3075602516392,14.1361556299186,NaN,NaN,NaN,NaN,NaN,0,3,3,64,,64
C4,5948.852,0.644,5949.072,sp_unc,14.000572816846,11.7403646157595,NaN,NaN,NaN,NaN,NaN,1,4,1,65,,65
Cz,5953.124,0.6,5953.288,sp_unc,13.3965867048574,12.9182149386916,NaN,NaN,NaN,NaN,NaN,0,4,2,66,,66
C3,5955.388,0.576,5955.832,sp_unc,14.0870712320016,17.3253106414878,NaN,NaN,NaN,NaN,NaN,0,4,3,67,,67
Pz,5957.98,1.22,5958.576,sp_unc,14.6699649932212,16.9653689688532,NaN,NaN,NaN,NaN,NaN,0,4,4,68,,68
C3,5965.308,0.732,5965.86,sp_unc,13.9289024576692,17.219918893206,NaN,NaN,NaN,NaN,NaN,1,2,1,69,,69
Pz,5969.328,0.64,5969.66,sp_unc,14.6277873894656,16.3369120245486,NaN,NaN,NaN,NaN,NaN,0,2,2,70,,70
Pz,5979.376,0.552,5979.568,sp_unc,13.9134601208905,15.2370925194467,NaN,NaN,NaN,NaN,NaN,0,4,1,71,,71
C4,5981.872,0.52,5982.012,sp_unc,14.0134983086802,12.1749184926562,NaN,NaN,NaN,NaN,NaN,0,4,2,72,,72
Fz,5984.972,0.608,5985.144,sp_unc,12.1206239412761,16.8236490112677,NaN,NaN,NaN,NaN,NaN,0,4,3,73,,73
C4,5986.832,0.508,5987.184,sp_unc,14.6587481146305,12.8099295929393,NaN,NaN,NaN,NaN,NaN,1,4,4,74,,74
Cz,5993.568,1.484,5994.236,sp_c_up,14.0033147966585,12.9106302404253,0.294913816593706,1.292,5990.944,5994.944,5992.944,1,3,1,75,,75
Pz,5997.324,0.688,5997.608,sp_unc,14.1707895748599,11.8391400582954,NaN,NaN,NaN,NaN,NaN,1,3,2,76,,76
C3,5999.056,0.512,5999.416,sp_c_down,13.9175553262241,15.4799854713563,2.86830071101269,-0.06,5997.476,6001.476,5999.476,0,3,3,77,,77
C3,6008.056,0.792,6008.38,sp_c_down,13.2281549403107,14.4904928486782,-0.676472421918091,-1.464,6007.844,6011.844,6009.844,0,1,1,78,,78
Pz,6019.372,0.988,6019.816,sp_unc,14.6645947202793,13.3897678991598,NaN,NaN,NaN,NaN,NaN,0,1,1,79,,79
Pz,6028.352,0.856,6028.588,sp_unc,13.8961725040894,20.4076316110567,NaN,NaN,NaN,NaN,NaN,1,5,1,80,,80
C3,6033.088,0.496,6033.26,sp_c_down,13.7946479761495,15.404463370391,1.60991281587701,-1.612,6032.872,6036.872,6034.872,0,5,2,81,,81
Fz,6033.68,0.504,6033.824,sp_c_down,13.8964312798485,20.8960207869576,-0.998573869002166,-1.048,6032.872,6036.872,6034.872,0,5,3,82,,82
Cz,6036.332,0.708,6036.484,sp_c_up,13.7454976830774,15.1626512701609,-1.16206361042621,1.612,6032.872,6036.872,6034.872,0,5,4,83,,83
C4,6038.632,0.744,6039.188,sp_unc,14.3146420618109,14.3539624370292,NaN,NaN,NaN,NaN,NaN,1,5,5,84,,84
C4,6047.468,0.528,6047.62,sp_unc,14.2674158057285,13.5297703721138,NaN,NaN,NaN,NaN,NaN,0,4,1,85,,85
Pz,6053,0.936,6053.696,sp_unc,14.4230736154111,15.0639554677804,NaN,NaN,NaN,NaN,NaN,1,4,2,86,,86
Pz,6055.5,0.656,6055.92,sp_unc,14.2414228333232,18.0974232221974,NaN,NaN,NaN,NaN,NaN,0,4,3,87,,87
Fz,6058.756,0.68,6058.888,sp_unc,12.3207998036373,21.0073878213328,NaN,NaN,NaN,NaN,NaN,0,4,4,88,,88
Pz,6065.932,0.728,6066.44,sp_unc,13.9598948997882,13.5938166880932,NaN,NaN,NaN,NaN,NaN,1,1,1,89,,89
C4,6076.092,0.508,6076.208,sp_unc,13.358918128655,11.6095361984442,NaN,NaN,NaN,NaN,NaN,0,2,1,90,,90
Pz,6078.228,0.736,6078.568,sp_unc,14.5549875074684,13.5404270238868,NaN,NaN,NaN,NaN,NaN,1,2,2,91,,91
Pz,6084.716,0.62,6084.908,sp_unc,13.5563388603838,13.4944935809954,NaN,NaN,NaN,NaN,NaN,0,1,1,92,,92
Pz,6103.564,0.68,6103.804,sp_unc,14.0861814281956,12.093882656645,NaN,NaN,NaN,NaN,NaN,0,10,1,93,,93
Fz,6104.876,0.552,6104.996,sp_unc,13.1874825953773,19.6284419141689,NaN,NaN,NaN,NaN,NaN,0,10,2,94,,94
Pz,6106.768,1.264,6107.62,sp_unc,14.1365479370283,15.4631147492104,NaN,NaN,NaN,NaN,NaN,1,10,3,95,,95
Pz,6109.248,0.572,6109.628,sp_unc,13.7201979307242,13.379694171467,NaN,NaN,NaN,NaN,NaN,0,10,4,96,,96
C4,6110.736,0.936,6111.516,sp_unc,13.9510592248595,16.3395853431229,NaN,NaN,NaN,NaN,NaN,1,10,5,97,,97
Pz,6113.644,0.848,6114.348,sp_unc,13.9517502907596,13.3377431431666,NaN,NaN,NaN,NaN,NaN,0,10,6,98,,98
C4,6114.864,0.5,6115.22,sp_unc,13.0272166500354,9.72332582614619,NaN,NaN,NaN,NaN,NaN,0,10,7,99,,99
Fz,6120.072,0.628,6120.228,sp_c_up,12.1579357767655,21.1332972688723,3.11839166614473,0.016,6118.212,6122.212,6120.212,1,10,8,100,,100
Fz,6121.636,0.76,6121.956,sp_c_up,12.7347297238938,17.8941950318357,1.49975412996842,1.744,6118.212,6122.212,6120.212,0,10,9,101,,101
C3,6122.424,0.504,6122.584,sp_unc,13.7696160335479,15.100470442058,NaN,NaN,NaN,NaN,NaN,0,10,10,102,,102
